Date,Open,High,Low,Close,Volume
12-11-20,11802.5,11847.7998,11666.4004,11709.5996,3490816114
13-11-20,11794.9004,11849.7998,11715.5,11829.2998,3308509831
16-11-20,11847.0996,11937.7002,11814.9004,11924.0996,3801689393
17-11-20,11913.2998,11950.2002,11852.4004,11899.2998,3748190342
18-11-20,11896.0996,11942.5,11800.0,11801.5996,4314001544
19-11-20,11779.0,11912.5996,11761.0,11904.7002,4922369726
20-11-20,11892.7002,11935.5,11852.5,11855.0,4974002383
23-11-20,11916.7998,11949.2998,11796.5,11880.5996,4975697844
24-11-20,11939.2998,12049.9004,11863.4004,12036.7998,5857911255
25-11-20,12053.9004,12114.7998,12021.0,12094.4004,4133679147
27-11-20,12159.2002,12236.2002,12154.5996,12205.7998,3132976595
30-11-20,12224.2002,12244.5996,12027.2002,12198.7002,7172228178
01-12-20,12313.3643,12405.7871,12263.9287,12355.1064,6032083535
02-12-20,12285.748,12360.0566,12217.3486,12349.3662,4805032504
03-12-20,12369.2598,12439.0215,12356.9854,12377.1816,4863957581
04-12-20,12399.3213,12464.2324,12376.4355,12464.2324,4695098899
07-12-20,12460.9961,12536.2275,12460.5508,12519.9453,4402204079
08-12-20,12503.1719,12594.5381,12453.2061,12582.7734,4450302351
09-12-20,12591.6855,12607.1426,12290.7803,12338.9531,4669756349
10-12-20,12247.5498,12431.5557,12214.7383,12405.8086,4000934554
11-12-20,12336.792,12383.499,12246.7666,12377.8721,3832747316
14-12-20,12447.4385,12542.9951,12432.707,12440.04,4092296339
15-12-20,12543.2559,12596.1328,12465.4229,12595.0596,4010643711
16-12-20,12611.0352,12687.3223,12566.3838,12658.1875,4129105503
17-12-20,12730.7822,12765.251,12696.3516,12764.7451,4606179948
18-12-20,12804.9277,12809.6006,12654.6045,12755.6377,6388160358
21-12-20,12596.1436,12751.2686,12525.2188,12742.5166,4706969819
22-12-20,12785.2197,12840.5732,12695.3135,12807.918,5257630612
23-12-20,12834.9395,12841.9209,12758.6719,12771.1143,6591657378
24-12-20,12791.542,12833.5508,12767.6357,12804.7344,3063705956
28-12-20,12914.6406,12930.8896,12827.4453,12899.4229,4714011021
