Date,Close,Open,High,Low
2026-04-01,1459.44,1464.49,1469.99,1452.88
2026-04-02,1459.88,1459.44,1464.88,1452.1
2026-04-03,1460.0,1459.54,1469.96,1455.0
2026-04-07,1440.02,1460.05,1470.0,1435.05
2026-04-08,1465.02,1460.0,1469.08,1452.13
2026-04-09,1460.49,1465.02,1465.02,1447.5
2026-04-10,1453.96,1459.14,1459.71,1441.1
2026-04-13,1443.31,1444.0,1446.5,1433.0
2026-04-14,1446.9,1442.6,1448.6,1435.0
2026-04-15,1467.5,1444.98,1470.79,1442.0
2026-04-16,1462.84,1467.45,1477.41,1460.0
2026-04-17,1407.24,1400.0,1421.0,1399.87
2026-04-20,1410.89,1403.0,1413.94,1400.0
2026-04-21,1412.01,1411.0,1419.9,1410.0
2026-04-22,1409.5,1415.0,1419.0,1404.98
2026-04-23,1419.0,1408.0,1419.7,1405.1
2026-04-24,1458.49,1413.1,1458.88,1413.1
